Model,Loss,Accuracy
notes_relu_Adadelta.h5,1.0230872879505157,0.6575999855995178
notes_relu_Adagrad.h5,0.46395607382655146,0.8343999981880188
notes_relu_Adam.h5,0.45607613000752173,0.8335999846458435
notes_relu_Adamax.h5,0.17716352205261937,0.9448000192642212
notes_relu_Nadam.h5,1.1202055371284483,0.7336000204086304
notes_relu_RMSprop.h5,0.131927685880661,0.9527999758720398
notes_relu_SGD.h5,0.3307078169821296,0.8903999924659729
