Unnamed: 0,Adam_loss,Adam_acc,SGD_loss,SGD_acc,Adadelta_loss,Adadelta_acc,RMSprop_loss,RMSprop_acc,Adagrad_loss,Adagrad_acc,Adamax_loss,Adamax_acc,Nadam_loss,Nadam_acc,ftrl_loss,ftrl_acc
0,1.481329832,0.3882666528,1.53374072,0.3133333325,1.803431159,0.1957333386,2.130662372,0.2599999905,1.541918339,0.3616000116,1.489223436,0.355733335,1.567752665,0.3466666639,1.611840396,0.2021333277
1,1.009437283,0.5738666654,1.316789109,0.4181333482,1.601754222,0.2762666643,1.419388702,0.3736000061,1.247754473,0.4818666577,1.17036174,0.5410666466,1.214906265,0.4666666687,1.609460558,0.2021333277
2,0.8431924589,0.6575999856,1.251858931,0.454400003,1.566224877,0.3271999955,1.253793948,0.4535999894,1.140617383,0.5773333311,1.010701032,0.5928000212,1.024738788,0.5693333149,1.609459256,0.2021333277
3,0.7955800212,0.6794666648,1.128442711,0.5245333314,1.545648003,0.3538666666,1.147276717,0.5042666793,1.077889466,0.5981333256,0.8959346671,0.6528000236,0.9307463379,0.6208000183,1.609458009,0.2021333277
4,0.6557343987,0.7442666888,1.08375422,0.5576000214,1.529866433,0.3653333187,1.066463596,0.5586666465,1.015061172,0.6274666786,0.8073646328,0.6882666945,0.836675469,0.6514666677,1.609456759,0.2021333277
5,0.6641259184,0.7298666835,1.01647933,0.5824000239,1.517550742,0.3858666718,0.9898468988,0.5968000293,0.9762301948,0.6480000019,0.7258862114,0.7194666862,0.7671499058,0.6909333467,1.609455347,0.2021333277
6,0.5760404323,0.7626666427,1.003334889,0.5746666789,1.50565462,0.3944000006,0.941736759,0.6173333526,0.9400244489,0.6629333496,0.6635788293,0.746933341,0.6854078869,0.7365333438,1.609453883,0.2021333277
7,0.5391547044,0.7842666507,0.9453980297,0.614133358,1.494012191,0.4061333239,0.8910497039,0.632799983,0.9070322726,0.6858666539,0.629672266,0.749333322,0.6607677139,0.7296000123,1.609452612,0.2021333277
8,0.4839697912,0.8053333163,0.9342008214,0.6055999994,1.483063279,0.4090666771,0.8612904083,0.6439999938,0.8769656202,0.6893333197,0.5730618454,0.784799993,0.6276841993,0.74453336,1.609451285,0.2021333277
9,0.436229808,0.8253333569,0.8329455208,0.658133328,1.471381456,0.4282666743,0.8096179389,0.6687999964,0.8501397428,0.701333344,0.5681402114,0.7794666886,0.553149644,0.7767999768,1.609450087,0.2021333277
